district_id,state,district,lat,lon,population,female_population,literacy_rate,urban_share,census_match_quality,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,total_2001
0,ANDHRA PRADESH,ADILABAD,19.28451395,78.81321233,2741239.0,1371642.0,0.5411228280350601,0.2693460060607988,exact,50,30,16,149,34,175,0,454
1,ANDHRA PRADESH,ANANTAPUR,14.31206556,77.46015845,4081148.0,2016653.0,0.5662524368143473,0.2743678220033622,exact,23,30,7,118,24,154,0,356
2,ANDHRA PRADESH,CHITTOOR,13.33109263,78.92763899,4174064.0,2083860.0,0.6391559880250998,0.3036345647955701,exact,27,34,14,112,83,186,0,456
3,ANDHRA PRADESH,CUDDAPAH,14.49028913,78.69613871,3749273.8571428573,1868445.5238095238,0.59704011764767,0.33097234165874284,unmatched,20,20,17,126,38,57,0,278
4,ANDHRA PRADESH,EAST GODAVARI,16.78271832,82.24320747,5154296.0,2584608.0,0.6380264152466215,0.25305245039826485,exact,23,26,12,109,58,247,0,475
5,ANDHRA PRADESH,GUNTAKAL RLY.,15.1674,77.3736,3749273.8571428573,1868445.5238095238,0.59704011764767,0.33097234165874284,unmatched,0,0,0,1,0,0,0,1
6,ANDHRA PRADESH,GUNTUR,15.88492577,80.58657614,4887813.0,2447292.0,0.6056780404651324,0.32414165598013883,exact,54,51,7,139,129,378,0,758
7,ANDHRA PRADESH,HYDERABAD CITY,16.63954622,77.98933089,3943323.0,1924748.0,0.7334309160066269,1.0,fuzzy,37,39,24,118,27,746,0,991
8,ANDHRA PRADESH,KARIMNAGAR,18.51548319,79.43765429,3776269.0,1895469.0,0.5843940143035361,0.24718865851984073,exact,56,49,62,414,81,224,0,886
9,ANDHRA PRADESH,KHAMMAM,17.68392133,80.67008644,2797370.0,1406382.0,0.5827738196949277,0.23128557071069633,exact,47,30,17,180,336,172,0,782
10,ANDHRA PRADESH,KRISHNA,16.14387275,81.14805061,4517398.0,2250023.0,0.6662503503122815,0.3840878825523222,exact,37,21,10,208,72,265,0,613
11,ANDHRA PRADESH,KURNOOL,15.43759715,77.90086837,4053463.0,2014236.0,0.5247762222080231,0.2814192797260814,exact,29,47,13,141,107,92,0,429
12,ANDHRA PRADESH,MAHABOOBNAGAR,16.63954622,77.98933089,4053028.0,2002642.0,0.47881386459703706,0.15945505759815448,fuzzy,59,27,14,176,41,69,0,386
13,ANDHRA PRADESH,MEDAK,17.88930498,78.13778902,3033288.0,1510258.0,0.5397235607037644,0.24771394392826548,exact,35,20,26,100,25,192,0,398
14,ANDHRA PRADESH,NALGONDA,17.11325052,79.16984454,3488809.0,1729037.0,0.5735536109887357,0.1915083074911464,exact,35,19,31,188,59,214,0,546
15,ANDHRA PRADESH,NELLORE,13.89434407,80.14702672,3749273.8571428573,1868445.5238095238,0.59704011764767,0.33097234165874284,unmatched,46,80,10,207,228,287,0,858
16,ANDHRA PRADESH,NIZAMABAD,18.42948585,78.07523491,2551335.0,1300694.0,0.5447383428675576,0.2153733593595984,exact,21,21,19,55,15,228,0,359
17,ANDHRA PRADESH,PRAKASHAM,15.489039,80.1166579,3397448.0,1682684.0,0.5605486824228068,0.19684987242259155,fuzzy,19,12,5,140,100,119,0,395
18,ANDHRA PRADESH,RANGA REDDY,17.24523587,78.05756828,5296741.0,2595733.0,0.6679631871749062,0.7232486316083422,fuzzy,72,83,37,113,55,421,7,788
19,ANDHRA PRADESH,SECUNDERABAD RLY.,17.4337,78.5016,3749273.8571428573,1868445.5238095238,0.59704011764767,0.33097234165874284,unmatched,0,0,1,0,1,0,0,2
20,ANDHRA PRADESH,SRIKAKULAM,18.570901,84.25874814,2703114.0,1361376.0,0.5532067829917643,0.1658666099313414,exact,8,12,6,38,47,108,0,219
